City,State,Total_Population,Median_Income,Unemployment_Rate,Median_Age,Type,Total no. of census tracts,Total no. of disadvantaged tracts,Percentage of disadvantaged population
Holland city,Iowa,291,60625,11.38,41.1,City,1,0,0
Holstein city,Iowa,1370,54688,1.96,35.5,City,1,0,0
Holy Cross city,Iowa,310,68750,0.5,37,City,1,0,0
Hopkinton city,Iowa,568,58281,4.07,38.3,City,1,0,0
Hornick city,Iowa,286,71667,0.7,32.9,City,1,0,0
Hospers city,Iowa,812,62159,3.63,34,City,1,0,0
Houghton city,Iowa,104,91250,2.04,55,City,1,0,0
Hubbard city,Iowa,771,60114,1.06,53.8,City,1,0,0
Hudson city,Iowa,2409,105000,4.5,42.2,City,2,0,0
Hull city,Iowa,1987,71042,0,34.7,City,1,0,0
Humboldt city,Iowa,4568,55640,3.02,43.3,City,2,1,49.96
Humeston city,Iowa,449,43207,2.17,55.8,City,1,1,100
Huxley city,Iowa,3912,109583,1.47,34.8,City,2,0,0
Ida Grove city,Iowa,1929,52039,3.45,43.9,City,1,0,0
Imogene city,Iowa,33,36250,0,38.8,City,1,0,0
Independence city,Iowa,6085,58631,2.1,40.8,City,4,0,0
Indianola city,Iowa,15921,62761,3.52,35.5,City,6,0,0
Inwood city,Iowa,985,53947,3.74,35.1,City,1,0,0
Ionia city,Iowa,296,61585,0.99,36,City,1,0,0
Iowa city,Iowa,75849,48148,4.73,26.3,City,21,1,7.96
Iowa Falls city,Iowa,5067,45331,4.17,44.2,City,3,0,0
Ireton city,Iowa,664,67824,1.46,29.9,City,1,0,0
Irwin city,Iowa,327,64063,1.16,52.8,City,1,0,0
Jamaica city,Iowa,250,39063,5.41,40.8,City,1,0,0
Janesville city,Iowa,1051,72500,1.49,42,City,2,0,0
Jefferson city,Iowa,4121,44215,2.37,45.4,City,2,1,48.58
Jesup city,Iowa,2725,80568,3.84,32.7,City,3,0,0
Jewell Junction city,Iowa,1346,76607,0.4,37.3,City,1,0,0
Johnston city,Iowa,22077,92984,1.36,39.1,City,8,0,0
Joice city,Iowa,250,41500,6.31,35.4,City,1,0,0
Kalona city,Iowa,2528,58575,0.59,40.6,City,2,0,0
Kamrar city,Iowa,185,44032,1.89,41.1,City,1,0,0
Kanawha city,Iowa,954,63625,0.92,29.6,City,1,0,0
Kellerton city,Iowa,302,40500,3.76,34.5,City,1,0,0
Kelley city,Iowa,369,101250,1.49,32.2,City,1,0,0
Kellogg city,Iowa,649,37031,6.91,45.6,City,1,0,0
Kensett city,Iowa,285,33750,5.33,52.8,City,1,0,0
Keokuk city,Iowa,10225,43304,7.35,40.1,City,5,3,43.53
Keomah Village city,Iowa,114,88750,0,57.3,City,1,1,100
Keosauqua city,Iowa,915,41300,3.5,58.4,City,2,1,55.13
Keota city,Iowa,834,49792,2.05,42.7,City,2,0,0
Keswick city,Iowa,295,49688,0.87,32.6,City,1,1,100
Keystone city,Iowa,605,56250,1.48,40.3,City,1,0,0
Kimballton city,Iowa,275,51250,4.44,45.7,City,1,0,0
Kingsley city,Iowa,1459,60870,0.75,45,City,1,0,0
Kinross city,Iowa,67,35000,0,45.2,City,1,0,0
Kirkman city,Iowa,54,61250,12.5,55.7,City,1,0,0
Kirkville city,Iowa,251,67750,0,39.7,City,1,0,0
Kiron city,Iowa,321,40938,1.71,32.6,City,1,0,0
Klemme city,Iowa,652,51250,4.43,27.2,City,1,0,0
Knierim city,Iowa,57,73125,0,44.8,City,1,0,0
Knoxville city,Iowa,7154,50629,2.81,40.8,City,3,0,0
La Motte city,Iowa,241,68750,1.56,44.8,City,1,0,0
La Porte city,Iowa,2556,57348,1.41,37.9,City,1,0,0
Lacona city,Iowa,339,57750,13.12,52.8,City,1,0,0
Ladora city,Iowa,223,57083,3.62,35.8,City,1,0,0
Lake city,Iowa,1751,53462,1.12,48.9,City,1,0,0
Lake Mills city,Iowa,2108,52885,1.81,40.7,City,1,0,0
Lake Park city,Iowa,1194,62222,0.88,39.9,City,1,0,0
Lake View city,Iowa,937,55938,3.28,60.9,City,1,0,0
Lakeside city,Iowa,990,67656,4.59,31,City,1,1,100
Lakota city,Iowa,400,53646,12.96,30.4,City,1,1,100
Lambs Grove city,Iowa,231,83750,9.22,52.7,City,1,1,100
Lamoni city,Iowa,2339,36596,5.27,26.7,City,1,0,0
Lamont city,Iowa,519,47143,7.85,38.4,City,1,1,100
Lanesboro city,Iowa,103,50625,0,59.3,City,1,0,0
Lansing city,Iowa,893,38250,6.14,57.6,City,1,0,0
Larchwood city,Iowa,973,44792,2.02,39,City,1,0,0
Larrabee city,Iowa,142,41250,0,58.2,City,1,0,0
Latimer city,Iowa,788,37386,6.02,40.3,City,1,0,0
Laurel city,Iowa,194,51250,6.54,49.4,City,1,0,0
Laurens city,Iowa,1196,44474,4.78,48.6,City,1,1,100
Lawler city,Iowa,352,58750,4.95,48.6,City,1,0,0
Lawton city,Iowa,1055,89531,1.63,40.4,City,1,0,0
Le Claire city,Iowa,3969,78534,4.45,33.7,City,3,0,0
Le Grand city,Iowa,842,52132,5.2,48.2,City,2,0,0
Le Mars city,Iowa,10012,68306,2.45,38.7,City,3,1,27.96
Ledyard city,Iowa,83,32188,0,64.8,City,1,1,100
Lehigh city,Iowa,398,51950,4.08,51.1,City,1,0,0
Leighton city,Iowa,196,55179,0,47.5,City,1,0,0
Leland city,Iowa,313,45000,1.38,31.9,City,1,0,0
Lenox city,Iowa,1446,44837,2.46,41,City,2,2,100
Leon city,Iowa,1883,54345,2.99,35.4,City,1,1,100
Lester city,Iowa,278,71563,1.91,44,City,1,0,0
Letts city,Iowa,334,56875,4.46,44,City,1,0,0
Lewis city,Iowa,513,29932,5.88,59.5,City,1,0,0
Libertyville city,Iowa,377,60197,4.71,50.3,City,1,0,0
Lidderdale city,Iowa,167,60313,1.12,45.8,City,1,0,0
Lime Springs city,Iowa,627,61818,6.17,36.9,City,1,0,0
Lincoln city,Iowa,126,50000,2.67,50.3,City,1,0,0
Linden city,Iowa,220,76667,9.02,39,City,1,0,0
Lineville city,Iowa,261,51250,3.77,48.3,City,1,1,100
Linn Grove city,Iowa,177,48750,3.9,43.3,City,1,0,0
Lisbon city,Iowa,2138,77475,3.25,42.2,City,2,0,0
Liscomb city,Iowa,381,68597,3.12,44.5,City,1,0,0
Little Rock city,Iowa,458,54018,6.41,36.5,City,1,0,0
Little Sioux city,Iowa,192,21719,7.94,35.8,City,1,0,0
Livermore city,Iowa,434,73542,8.25,34.6,City,1,0,0
Lockridge city,Iowa,764,86136,3.44,39.4,City,1,0,0
Logan city,Iowa,1544,69844,0.12,40.7,City,1,0,0
Lohrville city,Iowa,337,44583,1.46,49,City,1,0,0
Lone Rock city,Iowa,179,60250,9.8,37.2,City,1,1,100
Lone Tree city,Iowa,1390,68971,0.48,42,City,1,0,0
Long Grove city,Iowa,893,108281,3.38,43.9,City,1,0,0
Lorimor city,Iowa,396,35750,14.09,35.7,City,1,0,0
Lost Nation city,Iowa,451,40000,5.26,49.9,City,1,0,0
Lovilia city,Iowa,625,54479,2.32,32.6,City,1,0,0
Low Moor city,Iowa,326,54792,4.17,43.8,City,1,0,0
Lowden city,Iowa,909,61250,5.57,39,City,1,0,0
Lu Verne city,Iowa,278,46750,4.86,31,City,2,0,0
Luana city,Iowa,238,52188,6.21,38.4,City,1,0,0
Lucas city,Iowa,113,43125,2.17,57.8,City,1,0,0
Luther city,Iowa,153,85208,1.41,53.5,City,1,0,0
Luxemburg city,Iowa,219,70938,2.04,37.9,City,1,0,0
Luzerne city,Iowa,125,75208,5.71,48,City,1,0,0
Lynnville city,Iowa,541,42500,1.27,35.4,City,1,0,0
Lytton city,Iowa,269,44375,0.64,40,City,2,0,0
Macedonia city,Iowa,214,64667,1.9,38.2,City,1,0,0
Macksburg city,Iowa,97,37188,1.75,48.5,City,1,0,0
Madrid city,Iowa,2570,67396,2.76,47.9,City,1,0,0
Magnolia city,Iowa,144,39583,3.37,52.3,City,1,0,0
Maharishi Vedic city,Iowa,486,69688,11.32,52.5,City,1,0,0
Malcom city,Iowa,275,49688,1.25,33.5,City,1,0,0
Mallard city,Iowa,227,35833,2.91,65.2,City,2,0,0
Maloy city,Iowa,24,70000,0,60.4,City,1,0,0
Malvern city,Iowa,1153,75341,3.76,43.9,City,1,0,0
Manchester city,Iowa,5011,49729,1.3,47,City,3,0,0
Manilla city,Iowa,826,52292,2.4,36.8,City,1,0,0
Manly city,Iowa,1480,66964,5.45,41.4,City,1,0,0
Manning city,Iowa,1550,59000,0.36,40.7,City,1,0,0
Manson city,Iowa,1760,53859,5.22,40.1,City,1,0,0
Mapleton city,Iowa,1173,47438,2.17,52.4,City,1,0,0
Maquoketa city,Iowa,5990,48164,10.01,41.3,City,5,1,15.84
Marathon city,Iowa,183,43750,15.93,48.6,City,1,0,0
Marble Rock city,Iowa,322,59250,2.04,52.8,City,1,0,0
Marcus city,Iowa,1295,59615,3.34,49.3,City,2,0,0
Marengo city,Iowa,2407,55859,2.23,40.4,City,1,0,0
Marion city,Iowa,39910,72500,3.81,38,City,13,0,0
Marne city,Iowa,131,50625,4.48,49.3,City,1,0,0
Marquette city,Iowa,448,39000,2.46,43.6,City,1,0,0
Marshalltown city,Iowa,26957,54778,5.61,35.7,City,9,3,45.81
Martelle city,Iowa,309,75000,2.22,34.3,City,1,0,0
Martensdale city,Iowa,504,47083,4.41,38.9,City,1,0,0
Marysville city,Iowa,50,47813,0,42,City,1,0,0
Mason city,Iowa,27064,53406,3.7,41.9,City,8,2,36.4
Masonville city,Iowa,110,48750,1.61,40,City,1,0,0
Massena city,Iowa,387,62708,6.28,28.8,City,1,0,0
Matlock city,Iowa,117,68864,2.74,60.8,City,1,0,0
Maurice city,Iowa,295,72813,1.69,39.8,City,1,0,0
Maxwell city,Iowa,739,72500,3.08,35.7,City,1,0,0
Maynard city,Iowa,506,38750,0,47.8,City,1,0,0
Maysville city,Iowa,225,64688,16.33,33.8,City,1,0,0
McCallsburg city,Iowa,479,61450,10.65,29.3,City,1,0,0
McCausland city,Iowa,379,80313,5.83,36.4,City,1,0,0
McClelland city,Iowa,178,96875,1.03,35.6,City,1,0,0
McGregor city,Iowa,837,39904,0.51,49,City,1,0,0
McIntire city,Iowa,80,32000,12.5,54,City,1,1,100
Mechanicsville city,Iowa,983,65491,0,51.2,City,1,0,0
Mediapolis city,Iowa,2118,59926,4.99,36,City,2,0,0
Melbourne city,Iowa,748,70179,6.05,39.3,City,1,0,0
Melcher-Dallas city,Iowa,1313,45000,7.69,35.3,City,1,1,100
Melrose city,Iowa,179,49048,29.09,62.2,City,1,0,0
Melvin city,Iowa,237,57054,1.63,50.5,City,1,0,0
Menlo city,Iowa,466,61932,9.69,34.9,City,1,0,0
Meriden city,Iowa,117,46250,3.33,44.5,City,1,0,0
Merrill city,Iowa,1016,60329,3.04,39,City,1,0,0
Meservey city,Iowa,277,72083,2.44,42.8,City,1,0,0
Middletown city,Iowa,447,66667,4.57,31.9,City,2,0,0
Miles city,Iowa,388,49219,2.55,46.2,City,1,0,0
Milford city,Iowa,3015,54375,1.08,39.7,City,3,0,0
Millersburg city,Iowa,181,64000,15.62,56.7,City,1,0,0
Millerton city,Iowa,125,34054,0,22.6,City,1,1,100
Milo city,Iowa,781,62500,0.83,36.2,City,1,0,0
Milton city,Iowa,470,42083,7.36,33.4,City,1,0,0
Minburn city,Iowa,401,59000,0.99,33,City,1,0,0
Minden city,Iowa,648,66667,1.32,35,City,1,0,0
Mingo city,Iowa,304,48375,5.48,37,City,1,0,0
Missouri Valley city,Iowa,2610,52960,2.76,40.5,City,2,1,56.76
Mitchell city,Iowa,142,60893,3.45,41,City,3,0,0
Mitchellville city,Iowa,2382,68365,3.05,34.7,City,2,0,0
Modale city,Iowa,296,47500,4.55,46.4,City,1,0,0
Mondamin city,Iowa,374,63478,5.65,42,City,1,0,0
Monmouth city,Iowa,131,46250,1.47,52.2,City,1,0,0
Monona city,Iowa,1639,50804,2.69,41.5,City,1,0,0
Monroe city,Iowa,1810,60278,2.84,40.4,City,1,0,0
Montezuma city,Iowa,1490,42500,5.25,34.3,City,1,0,0
Monticello city,Iowa,3843,51076,1.86,39.8,City,2,0,0
Montour city,Iowa,245,66875,3.8,46.8,City,1,0,0
Montrose city,Iowa,844,53304,0.26,48.5,City,1,0,0
Moorhead city,Iowa,221,33000,2.15,53.1,City,1,0,0
Moorland city,Iowa,154,63250,9.09,41.3,City,1,0,0
Moravia city,Iowa,603,46641,19.51,34.6,City,2,1,50.28
Morley city,Iowa,46,34375,6.67,58,City,1,0,0
Morning Sun city,Iowa,726,59063,1.99,44.3,City,1,0,0
Morrison city,Iowa,145,51250,12.28,54.3,City,1,0,0
Moulton city,Iowa,640,50333,5.21,30.6,City,1,0,0
Mount Auburn city,Iowa,157,75298,8.05,40,City,1,0,0
Mount Ayr city,Iowa,1988,47625,3.67,42.9,City,1,0,0
Mount Pleasant city,Iowa,8574,51615,2.5,38.3,City,4,0,0
Mount Vernon city,Iowa,4487,72164,5.98,23,City,2,0,0
Moville city,Iowa,1720,77500,1.51,33.7,City,1,0,0
Murray city,Iowa,693,49479,6.42,37.6,City,1,0,0
Muscatine city,Iowa,23661,53768,4.42,36.4,City,9,3,25.37
Mystic city,Iowa,317,38750,4.58,35.9,City,1,0,0
Nashua city,Iowa,1448,44028,1.21,38.6,City,2,0,0
Neola city,Iowa,1055,57938,2.92,35.9,City,1,0,0
Nevada city,Iowa,6737,60144,0.3,38.5,City,3,0,0
New Albin city,Iowa,503,46696,0.44,47.2,City,1,0,0
New Hampton city,Iowa,3413,44079,4.32,48,City,2,0,0
New Hartford city,Iowa,789,53214,5.13,35.6,City,1,0,0
New Liberty city,Iowa,108,56000,3.12,45,City,1,0,0
New London city,Iowa,2433,56075,6.2,33,City,1,0,0
New Market city,Iowa,483,49125,0.37,41.9,City,1,0,0
New Providence city,Iowa,279,64000,4.72,39.4,City,1,0,0
New Sharon city,Iowa,1187,57500,2.36,48,City,1,0,0
New Vienna city,Iowa,401,61563,2.02,45.3,City,1,0,0
New Virginia city,Iowa,457,69500,8.88,38.1,City,1,0,0
Newell city,Iowa,845,52589,0.9,37.8,City,1,0,0
Newhall city,Iowa,1096,59167,3.01,36.5,City,1,0,0
Newton city,Iowa,15160,48417,4.17,40.6,City,7,2,23.67
Nichols city,Iowa,376,58409,2.46,42.8,City,1,0,0
Nodaway city,Iowa,55,45625,3.7,55.4,City,1,0,0
Nora Springs city,Iowa,1648,65208,0,37.1,City,2,0,0
North Buena Vista city,Iowa,115,52500,8.33,53.6,City,1,1,100
North English city,Iowa,957,43365,1.02,43.8,City,2,1,44.73
North Liberty city,Iowa,19159,85435,2.66,30.7,City,7,0,0
North Washington city,Iowa,172,62750,0,41.3,City,1,0,0
Northwood city,Iowa,2182,58563,4.51,41.6,City,1,0,0
Norwalk city,Iowa,11467,83241,3.94,36.2,City,4,0,0
Norway city,Iowa,445,63542,0,47.8,City,1,0,0
Numa city,Iowa,79,40000,0,45.9,City,1,1,100
Oakland Acres city,Iowa,200,89583,1.92,37.3,City,1,0,0
Oakland city,Iowa,1665,57454,5.03,37.6,City,3,0,0
Oakville city,Iowa,209,52500,6.86,34.4,City,1,0,0
Ocheyedan city,Iowa,563,60500,1.41,41.4,City,1,0,0
Odebolt city,Iowa,866,50000,1.17,49.9,City,1,0,0
Oelwein city,Iowa,5896,38320,0.73,44.1,City,2,2,100
Ogden city,Iowa,1767,53077,7.97,47.4,City,1,0,0
Okoboji city,Iowa,913,53831,0,55.7,City,1,0,0
Olds city,Iowa,166,68438,0,39.2,City,1,0,0
Olin city,Iowa,966,55417,13.02,33.1,City,2,0,0
Ollie city,Iowa,173,46786,5.48,50.5,City,1,0,0
Onawa city,Iowa,2788,40530,3.63,43.9,City,2,1,59.54
Onslow city,Iowa,304,35078,2.36,29.5,City,1,0,0
Orange city,Iowa,6158,71848,3.01,36.6,City,4,0,0
Orchard city,Iowa,63,43393,0,51.9,City,1,1,100
Orient city,Iowa,434,53125,9.84,39.8,City,1,1,100
Orleans city,Iowa,524,61027,13.33,58.8,City,2,0,0
Osage city,Iowa,3549,53246,1.82,45.2,City,2,1,46.93
Osceola city,Iowa,5160,50696,1.25,39.2,City,3,1,54.9
Oskaloosa city,Iowa,11727,49856,4.04,34.7,City,6,2,30.55
Ossian city,Iowa,798,52404,0,45.6,City,1,0,0
Osterdock city,Iowa,124,41389,40.48,59.4,City,1,1,100
Otho city,Iowa,479,46985,4.87,51.8,City,1,0,0
Ottumwa city,Iowa,24505,42418,5.09,38.1,City,8,6,68.34
Owasa city,Iowa,16,47500,0,68.5,City,1,0,0
Oxford city,Iowa,707,60417,1.51,41.3,City,2,0,0
Oxford Junction city,Iowa,423,48750,1.07,44.1,City,1,0,0
Oyens city,Iowa,100,96563,0,33.2,City,1,0,0
Pacific Junction city,Iowa,286,58077,10.78,45.8,City,1,0,0
Packwood city,Iowa,586,38500,7.41,42,City,1,0,0
Palmer city,Iowa,150,46250,0,41.6,City,1,0,0
Palo city,Iowa,1003,82083,3.12,34.4,City,1,0,0
Panama city,Iowa,272,70625,0,36.3,City,1,0,0
Panora city,Iowa,1501,54231,6.6,38.2,City,2,0,0
Panorama Park city,Iowa,212,58333,0,64.7,City,1,0,0
Parkersburg city,Iowa,1849,60530,4.5,43.5,City,1,0,0
Parnell city,Iowa,210,45750,3.76,48.5,City,1,0,0
Paton city,Iowa,179,62708,0,39.1,City,1,1,100
Patterson city,Iowa,242,54500,5.52,43,City,1,0,0
Paullina city,Iowa,934,61250,5.14,40.9,City,1,0,0
Pella city,Iowa,10279,75848,1.42,35.8,City,5,0,0
Peosta city,Iowa,1964,95417,2.08,31.7,City,1,0,0
Perry city,Iowa,7660,47802,9.19,38.9,City,4,2,58.03
Persia city,Iowa,342,52500,0,33.4,City,1,0,0
Peterson city,Iowa,483,62143,3.77,37.1,City,1,0,0
Pierson city,Iowa,347,58750,8.33,32.5,City,1,0,0
Pilot Mound city,Iowa,161,36250,11.29,64.5,City,1,0,0
Pisgah city,Iowa,282,48182,9.29,50.7,City,1,0,0
Plainfield city,Iowa,405,59250,7.66,39.3,City,1,0,0
Plano city,Iowa,54,36875,9.09,38.8,City,1,0,0
Pleasant Hill city,Iowa,9959,74612,6.42,38.5,City,8,0,0
Pleasant Plain city,Iowa,101,100069,0,49.4,City,1,0,0
Pleasanton city,Iowa,51,101607,0,35.1,City,1,0,0
Pleasantville city,Iowa,2147,59464,2.34,33.3,City,1,0,0
Plover city,Iowa,97,34167,7.84,29.4,City,1,1,100
Plymouth city,Iowa,466,62054,0.43,36.5,City,1,0,0
Pocahontas city,Iowa,1420,52837,1.31,55.7,City,1,0,0
Polk city,Iowa,4797,127226,3.56,35.6,City,3,0,0
Pomeroy city,Iowa,502,47143,4.42,54.7,City,1,0,0
Popejoy city,Iowa,106,31979,0,25.9,City,1,0,0
Portsmouth city,Iowa,171,80938,1.75,45.3,City,1,0,0
Postville city,Iowa,2528,48352,4.59,28.5,City,2,1,49.14
Prairie city,Iowa,1827,73533,4.75,36.1,City,1,0,0
Prairieburg city,Iowa,165,55625,0,52.4,City,1,0,0
Prescott city,Iowa,189,48250,2.25,55.5,City,1,1,100
Preston city,Iowa,1013,70556,0.56,34.4,City,1,0,0
Primghar city,Iowa,1030,55500,2.87,40,City,1,0,0
Princeton city,Iowa,942,77031,7.67,44.7,City,1,0,0
Promise city,Iowa,72,28438,0,53.3,City,1,1,100
Protivin city,Iowa,373,49297,5.7,38.6,City,2,0,0
Pulaski city,Iowa,362,66136,13.19,33,City,1,0,0
Quasqueton city,Iowa,721,66750,3.22,35.4,City,1,0,0
Quimby city,Iowa,367,54063,5.41,55.3,City,2,0,0
Radcliffe city,Iowa,596,55625,2.06,47,City,1,0,0
Rake city,Iowa,153,37344,1.23,48.3,City,1,0,0
Ralston city,Iowa,98,63750,4.44,24.7,City,2,0,0
Randalia city,Iowa,61,35417,18.75,48.6,City,1,0,0
Randall city,Iowa,154,57344,6.41,53.5,City,1,0,0
Randolph city,Iowa,263,68646,0,33.9,City,1,0,0
Rathbun city,Iowa,41,36250,0,63.3,City,1,0,0
Raymond city,Iowa,792,63750,2.72,41.9,City,1,0,0
Readlyn city,Iowa,804,63750,0.48,36.4,City,1,0,0
Reasnor city,Iowa,100,51250,5.08,49.9,City,1,0,0
Red Oak city,Iowa,5323,50524,4.39,40.8,City,3,2,73.34
Redfield city,Iowa,704,68194,0.85,43,City,1,0,0
Reinbeck city,Iowa,1690,70682,0.73,45.3,City,1,0,0
Rembrandt city,Iowa,175,46250,11.82,55.4,City,1,0,0
Remsen city,Iowa,1802,64688,2.3,42.7,City,1,0,0
Renwick city,Iowa,249,41563,0.69,42.8,City,1,0,0
Rhodes city,Iowa,319,47344,9.03,50.7,City,1,0,0
Riceville city,Iowa,860,41250,4.28,37.5,City,2,1,55.96
Richland city,Iowa,572,48929,4.61,44,City,1,0,0
Rickardsville city,Iowa,215,81250,0,43.6,City,1,0,0
Ricketts city,Iowa,92,25833,25,50.5,City,1,0,0
Ridgeway city,Iowa,258,56250,6.36,36,City,1,0,0
Ringsted city,Iowa,472,49125,5.7,35,City,1,1,100
Rippey city,Iowa,211,40208,8.26,41.5,City,1,1,100
Riverdale city,Iowa,441,78438,7.05,45.4,City,1,0,0
Riverside city,Iowa,1021,66852,2.7,42.3,City,1,0,0
Riverton city,Iowa,257,41250,6.61,40.9,City,1,0,0
Robins city,Iowa,3510,132188,3.69,46,City,4,0,0
Rock Falls city,Iowa,161,44375,2.13,37.9,City,1,0,0
Rock Rapids city,Iowa,2555,61739,4.11,41.2,City,1,0,0
Rock Valley city,Iowa,3858,62121,3.48,34.8,City,1,0,0
Rockford city,Iowa,827,57256,2.93,44,City,1,0,0
Rockwell city,Iowa,871,52778,2.88,48.9,City,3,0,0
Rockwell city,Iowa,2166,36970,2.18,41.9,City,2,0,0
Rodman city,Iowa,24,79375,16.67,57.5,City,1,0,0
Rodney city,Iowa,65,34688,0,54.1,City,1,0,0
Roland city,Iowa,1374,67159,0.51,34.8,City,1,0,0
Rolfe city,Iowa,648,49554,21.66,37.3,City,1,0,0
Rome city,Iowa,70,37500,5.88,39.5,City,1,0,0
Rose Hill city,Iowa,241,53750,2.31,42.6,City,1,1,100
Rowan city,Iowa,156,43750,5.48,39,City,1,0,0
Rowley city,Iowa,332,61250,8.68,42.3,City,1,0,0
Royal city,Iowa,505,53393,6.45,33.5,City,1,0,0
Rudd city,Iowa,488,54063,3.79,39.6,City,1,0,0
Runnells city,Iowa,485,83409,3.69,35.2,City,1,0,0
Russell city,Iowa,667,41583,2.65,48.9,City,1,0,0
Ruthven city,Iowa,771,45250,3.92,37.9,City,1,0,0
Rutland city,Iowa,147,56250,1.16,38.5,City,1,0,0
Ryan city,Iowa,340,57250,1.23,39,City,1,0,0
Sabula city,Iowa,494,47614,3.64,39.9,City,1,0,0
Sac city,Iowa,1864,49490,3.29,48.9,City,1,0,0
Sageville city,Iowa,65,45500,3.03,51.5,City,4,0,0
Salem city,Iowa,492,44750,7.36,35.8,City,1,0,0
Salix city,Iowa,479,62500,0.73,37.6,City,1,0,0
Sanborn city,Iowa,1359,46382,1.12,45.4,City,1,0,0
Sandyville city,Iowa,64,66458,20,35.3,City,1,0,0
Scarville city,Iowa,52,51875,0,62,City,1,0,0
Schaller city,Iowa,702,59444,4.72,43,City,1,0,0
Schleswig city,Iowa,979,60172,5.01,36.5,City,1,0,0
Scranton city,Iowa,568,48173,6.05,42.9,City,1,0,0
Searsboro city,Iowa,134,40417,2.94,42.8,City,1,0,0
Sergeant Bluff city,Iowa,4901,94397,4.49,36.6,City,4,1,44.21
Seymour city,Iowa,521,37102,0.82,56,City,1,1,100
Shambaugh city,Iowa,159,45714,0,50.3,City,1,0,0
Shannon city,Iowa,108,68250,9.68,34.9,City,2,0,0
Sharpsburg city,Iowa,146,48125,5.33,25.9,City,1,1,100
Sheffield city,Iowa,1062,53169,0.78,39.8,City,1,0,0
Shelby city,Iowa,708,48229,1.44,39.1,City,3,0,0
Sheldahl city,Iowa,337,68409,11.05,36,City,4,0,0
Sheldon city,Iowa,5178,54931,0.94,39.4,City,3,0,0
Shell Rock city,Iowa,1646,56250,1.28,34.6,City,2,0,0
Shellsburg city,Iowa,806,69000,2.44,53.2,City,1,0,0
Shenandoah city,Iowa,4859,42887,5.07,41.6,City,3,1,32.05
Sherrill city,Iowa,205,91250,4.31,40.4,City,1,0,0
Shueyville city,Iowa,795,130250,3.27,45.2,City,1,0,0
Sibley city,Iowa,2599,57857,5,41.1,City,1,0,0
Sidney city,Iowa,1007,52857,3.24,40.5,City,1,0,0
Sigourney city,Iowa,1909,50224,0.81,50.5,City,2,0,0
Silver city,Iowa,320,66389,3.74,34.8,City,1,0,0
Sioux Center city,Iowa,7592,76580,0.31,30.2,City,3,0,0
Sioux city,Iowa,82535,57750,4.91,34.1,City,26,7,25.48
Sioux Rapids city,Iowa,920,55417,3.3,37.3,City,1,0,0
Slater city,Iowa,1463,72625,1.79,38.7,City,2,0,0
Sloan city,Iowa,1035,70417,9.25,41,City,1,0,0
Smithland city,Iowa,168,48194,2.6,48.3,City,1,0,0
Soldier city,Iowa,199,38036,4.72,41.5,City,1,0,0
Solon city,Iowa,2690,83897,1.55,34.6,City,1,0,0
Somers city,Iowa,95,41328,4.26,49.4,City,1,0,0
South English city,Iowa,280,34500,3.31,40,City,1,1,100
Spencer city,Iowa,11038,45224,5.71,41.9,City,4,1,61.53
Spillville city,Iowa,427,33472,6.85,40.9,City,1,0,0
Spirit Lake city,Iowa,5130,52664,0.45,42.9,City,4,0,0
Spragueville city,Iowa,113,34583,0,24.3,City,1,0,0
Spring Hill city,Iowa,48,57500,3.33,37.5,City,1,0,0
Springbrook city,Iowa,127,66875,0,55.9,City,1,0,0
Springville city,Iowa,1212,67969,2.68,34.9,City,1,0,0
St. Ansgar city,Iowa,1144,65536,4.38,41.3,City,1,0,0
St. Anthony city,Iowa,29,33750,0,45.8,City,1,0,0
St. Charles city,Iowa,787,77083,0.62,37.5,City,1,0,0
St. Donatus city,Iowa,104,37333,0,63,City,1,0,0
St. Lucas city,Iowa,129,48281,6.85,39.4,City,1,0,0
St. Marys city,Iowa,182,68333,0,55.5,City,1,0,0
St. Olaf city,Iowa,128,63750,0,34.5,City,1,0,0
St. Paul city,Iowa,65,60000,0,31.5,City,1,0,0
Stacyville city,Iowa,507,44886,0,47.8,City,1,1,100
Stanhope city,Iowa,492,53375,2.7,38.5,City,1,0,0
Stanton city,Iowa,627,68056,0,53.6,City,1,0,0
Stanwood city,Iowa,673,56071,2.63,38.9,City,1,0,0
State Center city,Iowa,1839,61741,6.94,30,City,1,0,0
Steamboat Rock city,Iowa,249,38125,0.82,49.1,City,1,0,0
Stockport city,Iowa,362,41250,16.29,28.3,City,1,1,100
Stockton city,Iowa,160,46250,7.77,37.6,City,1,0,0
Storm Lake city,Iowa,10508,47943,7.94,30.6,City,3,2,76.16
Story city,Iowa,3362,58155,5.35,41.4,City,1,0,0
Stout city,Iowa,214,70625,1.57,42.5,City,1,0,0
Stratford city,Iowa,669,46250,3.59,51.3,City,2,0,0
Strawberry Point city,Iowa,1411,50938,4.79,43.7,City,1,0,0
Struble city,Iowa,95,73750,6.38,25.5,City,1,0,0
Stuart city,Iowa,1623,53750,4.95,45.7,City,2,0,0
Sully city,Iowa,962,72951,3.1,44.6,City,1,0,0
Sumner city,Iowa,2224,54063,2.83,47.1,City,3,0,0
Superior city,Iowa,250,39444,2.22,21.9,City,1,0,0
Sutherland city,Iowa,529,51688,5.3,53.8,City,1,0,0
Swaledale city,Iowa,132,49063,2.94,60.3,City,1,0,0
Swea city,Iowa,639,43750,6.07,34.9,City,1,1,100
